City,Date,Temperature,Humidity,Weather
Mumbai,2026-06-04 18:00:00,29.92,74,Clouds
Mumbai,2026-06-04 21:00:00,29.43,75,Rain
Mumbai,2026-06-05 00:00:00,29.07,76,Rain
Mumbai,2026-06-05 03:00:00,29.47,74,Rain
Mumbai,2026-06-05 06:00:00,30.18,72,Clouds
Mumbai,2026-06-05 09:00:00,30.32,74,Clouds
Mumbai,2026-06-05 12:00:00,30.29,75,Rain
Mumbai,2026-06-05 15:00:00,30.23,76,Rain
Ahmedabad,2026-05-31 18:00:00,32.02,55,Clouds
Ahmedabad,2026-05-31 21:00:00,31.64,57,Clouds
Ahmedabad,2026-06-01 00:00:00,30.55,63,Clouds
Ahmedabad,2026-06-01 03:00:00,32.02,54,Clear
Ahmedabad,2026-06-01 06:00:00,37.31,35,Clear
Ahmedabad,2026-06-01 09:00:00,41.36,23,Clear
Ahmedabad,2026-06-01 12:00:00,41.69,20,Clear
Ahmedabad,2026-06-01 15:00:00,34.88,44,Clear
Ahmedabad,2026-06-01 18:00:00,31.37,61,Clouds
Ahmedabad,2026-06-01 21:00:00,31.11,56,Clouds
Ahmedabad,2026-06-02 00:00:00,29.99,64,Clouds
Ahmedabad,2026-06-02 03:00:00,32.18,53,Clouds
Ahmedabad,2026-06-02 06:00:00,37.07,33,Clouds
Ahmedabad,2026-06-02 09:00:00,40.62,24,Clear
Ahmedabad,2026-06-02 12:00:00,40.99,23,Clear
Ahmedabad,2026-06-02 15:00:00,32.95,53,Clear
Ahmedabad,2026-06-02 18:00:00,31.12,63,Clear
Ahmedabad,2026-06-02 21:00:00,30.91,63,Clear
Ahmedabad,2026-06-03 00:00:00,30.89,59,Clear
Ahmedabad,2026-06-03 03:00:00,32.29,55,Clear
Ahmedabad,2026-06-03 06:00:00,37.41,37,Clear
Ahmedabad,2026-06-03 09:00:00,41.03,27,Clear
Ahmedabad,2026-06-03 12:00:00,38.79,32,Clouds
Ahmedabad,2026-06-03 15:00:00,32.73,51,Clouds
Ahmedabad,2026-06-03 18:00:00,31.9,58,Rain
Ahmedabad,2026-06-03 21:00:00,32.24,55,Rain
Ahmedabad,2026-06-04 00:00:00,31.01,57,Clouds
Ahmedabad,2026-06-04 03:00:00,32.85,49,Clouds
Ahmedabad,2026-06-04 06:00:00,37.69,35,Clouds
Ahmedabad,2026-06-04 09:00:00,40.84,27,Clear
Ahmedabad,2026-06-04 12:00:00,38.88,33,Clear
Ahmedabad,2026-06-04 15:00:00,32.83,55,Clear
Ahmedabad,2026-06-04 18:00:00,31.52,62,Clear
Ahmedabad,2026-06-04 21:00:00,31.91,56,Clouds
Ahmedabad,2026-06-05 00:00:00,30.75,61,Clear
Ahmedabad,2026-06-05 03:00:00,32.63,53,Clear
Ahmedabad,2026-06-05 06:00:00,37.49,38,Clear
Ahmedabad,2026-06-05 09:00:00,41.39,27,Clear
Ahmedabad,2026-06-05 12:00:00,40.63,29,Clear
Ahmedabad,2026-06-05 15:00:00,33.07,56,Clear
Kolkata,2026-05-31 18:00:00,29.97,79,Clouds
Kolkata,2026-05-31 21:00:00,29.71,77,Clouds
Kolkata,2026-06-01 00:00:00,29.34,77,Clouds
Kolkata,2026-06-01 03:00:00,34.0,52,Clear
Kolkata,2026-06-01 06:00:00,37.76,38,Clear
Kolkata,2026-06-01 09:00:00,38.13,34,Clouds
Kolkata,2026-06-01 12:00:00,34.75,45,Rain
Kolkata,2026-06-01 15:00:00,30.98,62,Clouds
Kolkata,2026-06-01 18:00:00,29.78,70,Clouds
Kolkata,2026-06-01 21:00:00,29.0,78,Clouds
Kolkata,2026-06-02 00:00:00,28.88,80,Clear
Kolkata,2026-06-02 03:00:00,34.16,51,Clear
Kolkata,2026-06-02 06:00:00,38.49,36,Clouds
Kolkata,2026-06-02 09:00:00,38.67,35,Clouds
Kolkata,2026-06-02 12:00:00,34.54,48,Clouds
Kolkata,2026-06-02 15:00:00,30.61,68,Clouds
Kolkata,2026-06-02 18:00:00,29.66,75,Clouds
Kolkata,2026-06-02 21:00:00,29.2,77,Clear
Kolkata,2026-06-03 00:00:00,29.1,78,Clear
Kolkata,2026-06-03 03:00:00,34.27,52,Clear
Kolkata,2026-06-03 06:00:00,38.49,39,Clear
Kolkata,2026-06-03 09:00:00,38.3,40,Clear
Kolkata,2026-06-03 12:00:00,35.23,47,Clear
Kolkata,2026-06-03 15:00:00,30.92,69,Clouds
Kolkata,2026-06-03 18:00:00,30.07,77,Clouds
Kolkata,2026-06-03 21:00:00,29.45,81,Clouds
Kolkata,2026-06-04 00:00:00,29.5,81,Clouds
Kolkata,2026-06-04 03:00:00,35.94,49,Clear
Kolkata,2026-06-04 06:00:00,39.48,40,Clear
Kolkata,2026-06-04 09:00:00,39.57,40,Clear
Kolkata,2026-06-04 12:00:00,35.86,48,Clear
Kolkata,2026-06-04 15:00:00,31.17,72,Clouds
Kolkata,2026-06-04 18:00:00,30.36,78,Clouds
Kolkata,2026-06-04 21:00:00,29.87,80,Clouds
Kolkata,2026-06-05 00:00:00,30.26,79,Clouds
